id,url,datasets,fact_count
7b0e98ed-d9e3-538a-99a3-5da9852da484,https://arival.travel/article/klook-attracts-100m-investment/,"[""strategy_events""]",1
4be9d4c8-91b5-54e1-a5df-f7ae7a30e600,https://covergenius.com/make-my-trip-partners-with-cover-genius-to-offer-cancel-for-any-reason-protection/,"[""strategy_events""]",1
875184a3-7ce4-5f8e-9732-989a502e1b7e,https://craft.co/kiwi-com/executives,"[""ai_features"", ""strategy_events""]",2
31e468db-17e2-518b-a579-a43677e78cd8,https://csu.gov.cz/rychle-informace/tourism-1-quarter-of-2024,"[""inbound_tourism"", ""region_metrics""]",3
b020d620-185c-56da-b19a-2d511954933f,https://data.worldbank.org/indicator/ST.INT.ARVL?locations=AR,"[""inbound_tourism""]",1
8824b440-71a7-51cd-b70a-a94fa26e7efc,https://data.worldbank.org/indicator/ST.INT.ARVL?locations=NG,"[""inbound_tourism"", ""region_metrics""]",3
3244b6a7-5d85-548c-8383-1ca17fced890,https://deepmarketinsights.com/vista/insights/online-travel-booking-market/germany,"[""market_growth""]",2
d19d31a3-4b7a-5d72-882a-22d60fa43ba3,https://deepmarketinsights.com/vista/insights/online-travel-booking-market/japan,"[""market_growth""]",1
5cf87a00-ee58-5ed1-8236-b5a2839d473d,https://e27.co/kkday-lands-us70m-funding-to-bolster-mas-in-asia-pacific-ai-projects-20241205/,"[""ai_features""]",1
58bd33ee-41af-5dfe-922f-4b83673a6331,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_4573,"[""strategy_events""]",2
f9405ae5-4df0-58de-90a0-407664588255,https://economymiddleeast.com/news/dubai-international-tourists/,"[""inbound_tourism"", ""region_metrics""]",2
49f6ff93-398f-54b4-9a7d-06c8a8447091,https://en.wikipedia.org/wiki/EaseMyTrip,"[""strategy_events""]",1
98ed05fd-8fee-5ef0-8804-a8c3995c9d1e,https://en.wikipedia.org/wiki/Etraveli_Group,"[""ai_features""]",1
e9a81130-0db3-584a-8df9-ec6755793cf7,https://en.wikipedia.org/wiki/Traveloka,"[""strategy_events""]",1
faf7d0a1-dc1b-556e-960f-3099710a0fea,https://en.wikipedia.org/wiki/World_Tourism_rankings,"[""inbound_tourism""]",1
612d077e-b890-5ea4-96e2-b352a4e6d000,https://english.www.gov.cn/archive/statistics/202411/23/content_WS67413bfdc6d0868f4e8ed590.html,"[""inbound_tourism""]",1
06b86142-5056-5a04-833c-b5f7b4433683,https://entrackr.com/fintrackr/flipkart-owned-cleartrip-spent-rs-988-cr-to-earn-rs-97-cr-in-fy24-7658587,"[""rival_financials""]",1
b0873fd5-e293-5e0e-94a9-089ccbf4a144,https://entrackr.com/news/easemytrip-ceo-nishant-pitti-resigns-rikant-pittie-to-take-over-8582339,"[""strategy_events""]",1
daca3439-a195-51fc-92ca-08d747650a53,https://fortune.com/2025/11/11/asian-travel-platform-klook-is-filing-for-a-new-york-ipo/,"[""strategy_events""]",1
f3c46408-fbc8-5a68-b682-1ec038f012de,https://inc42.com/buzz/easemytrip-acquires-spree-hospitality-for-inr-18-25-cr/,"[""strategy_events""]",1
0700a766-f5ee-5235-8a24-cff2c0f805d4,https://inc42.com/buzz/flipkart-owned-cleartrip-spent-inr-15-to-earn-every-inr-1-from-ops-in-fy23/,"[""rival_financials""]",1
129134aa-6e71-53e2-abbf-081a14f3e2b7,https://ine.es/dyngs/Prensa/en/FRONTUR1223.htm,"[""inbound_tourism""]",1
d37f4f42-476a-542d-a8b3-a028f65660dd,https://insete.gr/wp-content/uploads/2024/04/Bulletin_EN_2023.pdf,"[""inbound_tourism"", ""region_metrics""]",3
ca6b907e-9d83-5ab3-a9c1-3b62ce4332ee,https://insete.gr/wp-content/uploads/2025/04/Bulletin_EN_2024.pdf,"[""inbound_tourism"", ""region_metrics""]",2
c29ed714-1746-50c0-b9fa-554d1c3e7d01,https://insurance-edge.net/2025/10/14/etraveli-group-reflects-on-25-years-of-innovation/,"[""rival_financials""]",1
354f5d58-b3c7-54ef-87e5-0f4bff031dbf,https://investors.trip.com/news-releases/news-release-details/ctrip-announces-completion-acquisition-skyscanner,"[""strategy_events""]",1
b9d3bfbd-1946-5e1d-b303-2d0195ae100f,https://investors.yatra.com/financial-information/financial-summary/default.aspx,"[""rival_financials""]",1
68a657d7-a613-5c8f-819b-a52f0c09aebb,https://investors.yatra.com/press-releases/press-release-details/2024/Yatra-Doubles-Down-on-Corporate-Travel-with-the-Acquisition-of-Globe-Travels-Solidifying-its-Leadership-Position/default.aspx,"[""ai_features"", ""strategy_events""]",2
c43cd64a-a6dd-510e-af19-0d60b4ff6d55,https://ir.bookingholdings.com/news/news-details/2017/The-Priceline-Group-Completes-the-Acquisition-of-Momondo-Group-07-24-2017/default.aspx,"[""strategy_events""]",1
7dd9a203-1ac3-5b4d-9e3f-a9838e2980a2,https://m.alphabiz.co.kr/news/amp.html?ncode=1065618008620459,"[""ai_features""]",1
70b43aef-9aa2-5e3f-964c-5a17e35f076a,https://media.kiwi.com/company-news/kiwi-com-2022-business-results/,"[""rival_financials""]",1
a3a313ac-4455-50c4-9795-e38397dc3912,https://medium.com/agoda-engineering/a-retrospective-agodas-genai-journey-thus-far-b0739683d53e,"[""ai_features""]",1
4f258ef0-70e5-5269-82f3-0bbc1e4740e4,https://news.airbnb.com/airbnb-2024-summer-release/,"[""strategy_events""]",1
92575798-683f-571f-8e6e-5898270695a8,https://news.airbnb.com/airbnb-2025-summer-release/,"[""strategy_events""]",1
3018ce8c-880d-5753-8fbc-1655e79065bb,https://news.airbnb.com/airbnb-has-acquired-gameplanner-ai/,"[""ai_features"", ""strategy_events""]",2
083a7564-3fd0-5b09-87f6-8bfe48b53ac6,https://news.airbnb.com/airbnb-q3-2025-financial-results/,"[""rival_financials""]",1
